source,target,hits,score,score.1,Hits,Score
CREEK,STEELHEAD,1.0,13.0,13.0,13.0,13.0
FORM,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
HUCHO,ONCORHYNCHUS,1.0,13.41,13.41,13.41,13.41
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,1.0,13.99,13.99,13.99,13.99
LIFE,STEELHEAD_TROUT,1.0,13.0,13.0,13.0,13.0
ONCORHYNCHUS,STEELHEAD,1.0,13.0,13.0,13.0,13.0
PEOPLE,ONCORHYNCHUS,1.0,13.0,13.0,13.0,13.0
RAINBOW,STEELHEAD_TROUT,2.0,13.0,13.0,13.0,13.0
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,74.0,13.14,13.14,13.14,13.14
REDBAND,REDBAND,2.0,13.19,13.19,13.19,13.19
SALMON,SALMO_GAIRDNERII,1.0,13.41,13.41,13.41,13.41
SILVER_TROUT,REDBAND_TROUT,1.0,13.41,13.41,13.41,13.41
