source,target,hits,score,score.1
ABRAMIS,BRAMA,84.0,13.9,13.9
ACERINA,CERNUA,20.0,13.34,13.34
ACIPENSER,MEDIROSTRIS,15.0,12.4,12.4
ACIPENSER,STURIO,21.0,12.79,12.79
ACIPENSER,TRANSMONTANUS,20.0,12.73,12.73
ALBURNUS,ALBURNUS,29.0,13.77,13.77
ALCEDO,ATTHIS,15.0,13.99,13.99
ALOSA,ALOSA,19.0,9.815,9.815
ALOSA,FALLAX,27.0,12.32,12.32
ALOSA,PSEUDOHARENGUS,59.0,13.19,13.19
ALOSA,SAPIDISSIMA,29.0,12.4,12.4
AMBLOPLITES,RUPESTRIS,21.0,13.93,13.93
AMEIURUS,NATALIS,30.0,13.23,13.23
AMEIURUS,NEBULOSUS,37.0,13.06,13.06
ANCHOA,MITCHILLI,28.0,13.99,13.99
ANGUILLA,ANGUILLA,59.0,11.86,11.86
ANGUILLA,DIEFFENBACHII,15.0,10.01,10.01
ANGUILLA,JAPONICA,181.0,13.15,13.15
ANGUILLA,MARMORATA,50.0,11.63,11.63
ANGUILLA,ROSTRATA,116.0,12.68,12.68
APLODINOTUS,GRUNNIENS,13.0,13.99,13.99
ARDEA,CINEREA,10.0,13.99,13.99
ARRIPIS,TRUTTA,12.0,10.04,10.04
ASELLUS,AQUATICUS,14.0,13.99,13.99
ASPIUS,ASPIUS,15.0,13.62,13.62
BALANUS,NAUPLIUS,25.0,13.96,13.96
BARBATULA,BARBATULA,17.0,13.72,13.72
BARBUS,BARBUS,28.0,13.43,13.43
BIDYANUS,BIDYANUS,46.0,13.98,13.98
BLICCA,BJOERKNA,24.0,13.88,13.88
BOSMINA,LONGIROSTRIS,15.0,13.23,13.23
CARASSIUS,AURATUS,52.0,13.41,13.41
CARASSIUS,CARASSIUS,20.0,12.63,12.63
CATOSTOMUS,CATOSTOMUS,18.0,12.57,12.57
CATOSTOMUS,COMMERSONI,26.0,12.94,12.94
CATOSTOMUS,COMMERSONII,12.0,11.51,11.51
CERATOPHYLLUM,DEMERSUM,18.0,13.85,13.85
CHASMODES,BOSQUIANUS,11.0,13.99,13.99
CHONDROSTOMA,NASUS,18.0,13.12,13.12
CHYDORUS,SPHAERICUS,13.0,13.89,13.89
CLADOCERA,INDET,12.0,10.2,10.2
CLARIAS,GARIEPINUS,51.0,13.85,13.85
CLINOSTOMUS,ELONGATUS,10.0,13.56,13.56
CLUPEA,HARENGUS,83.0,13.8,13.8
CLUPEA,PALLASII,17.0,12.13,12.13
COBITIS,TAENIA,12.0,13.5,13.5
COREGONUS,ALBULA,92.0,10.280000000000001,10.280000000000001
COREGONUS,ARTEDI,26.0,10.52,10.52
COREGONUS,ARTEDII,17.0,9.93,9.93
COREGONUS,AUTUMNALIS,15.0,9.75,9.75
COREGONUS,CLUPEAFORMIS,71.0,11.86,11.86
COREGONUS,HOYI,27.0,10.57,10.57
COREGONUS,LAVARETUS,218.0,13.02,13.02
COREGONUS,NASUS,12.0,9.38,9.38
COTTUS,ALEUTICUS,24.0,10.87,10.87
COTTUS,ASPER,39.0,11.52,11.52
COTTUS,BAIRDI,44.0,11.68,11.68
COTTUS,BAIRDII,18.0,10.47,10.47
COTTUS,COGNATUS,67.0,12.21,12.21
COTTUS,CONFUSUS,33.0,11.3,11.3
COTTUS,GOBIO,85.0,12.4,12.4
COTTUS,POECILOPUS,24.0,10.87,10.87
COTTUS,RICEI,10.0,9.65,9.65
COUESIUS,PLUMBEUS,30.0,13.95,13.95
CRASSOSTREA,VIRGINICA,16.0,13.67,13.67
CYGNUS,OLOR,15.0,13.91,13.91
CYPRINIDAE,FLUVIATILIS,43.0,12.93,12.93
CYPRINIDAE,LUCIUS,43.0,12.93,12.93
CYPRINIDAE,PERCA,43.0,12.91,12.91
CYPRINUS,CARPIO,123.0,12.204999999999998,12.204999999999998
DANIO,RERIO,18.0,13.81,13.81
DAPHNIA,MAGNA,21.0,12.9,12.9
DICENTRARCHUS,LABRAX,40.0,11.775,11.775
DOROSOMA,CEPEDIANUM,14.0,13.64,13.64
DREISSENA,POLYMORPHA,30.0,13.84,13.84
ELODEA,CANADENSIS,17.0,13.25,13.25
ENGRAULIS,MORDAX,15.0,12.43,12.43
ESOX,LUCIUS,11.0,11.17,11.17
ESOX,MASQUINONGY,18.0,13.47,13.47
EUBOTHRIUM,CRASSUM,33.0,13.58,13.58
EUBOTHRIUM,SALVELINI,20.0,12.95,12.95
EUMETOPIAS,JUBATUS,10.0,13.99,13.99
EUPHYDRYAS,AURINIA,21.0,13.99,13.99
EURYCERCUS,LAMELLATUS,12.0,13.94,13.94
FLAVOBACTERIUM,COLUMNARE,28.0,13.97,13.97
FUNDULUS,HETEROCLITUS,33.0,13.69,13.69
GADUS,MORHUA,103.0,11.835,11.835
GALAXIAS,OLIDUS,28.0,13.26,13.26
GAMBUSA,AFFINIS,24.0,13.23,13.23
GAMBUSIA,AFFINIS,26.0,12.92,12.92
GAMBUSIA,HOLBROOKI,19.0,13.09,13.09
GAMMARUS,LACUSTRIS,11.0,12.84,12.84
