parent,child,hits,score,score.1
BLUEGILL,LEPOMIS_MACROCHIRUS,11.0,13.6,13.6
BULLHEAD,COTTUS_GOBIO,15.0,13.09,13.09
CHIRONOMIDAE,LARVA,18.0,10.4,10.4
DIPTERA,LARVA,17.0,10.3,10.3
EEL,ANGUILLA_ANGUILLA,109.0,13.36,13.36
EEL,ANGUILLA_JAPONICA,25.0,11.69,11.69
EEL,ANGUILLA_ROSTRATA,12.0,10.72,10.72
EPHEMEROPTERA,NYMPH,11.0,12.96,12.96
ESOX,LUCIUS,24.0,13.91,13.91
ESOX_LUCIUS,LINNAEUS,14.0,12.28,12.28
GAMBUSIA,SPECIE,10.0,7.73,7.73
MINNOW,PHOXINUS_PHOXINUS,19.0,12.75,12.75
MINNOW,PIMEPHALES_PROMELAS,14.0,12.41,12.41
PARR,SALMO_SALAR,10.0,10.94,10.94
PERCH,PERCA_FLAVESCENS,15.0,11.38,11.38
RHINOGOBIUS,SPECIE,17.0,8.5,8.5
ROACH,RUTILUS_RUTILUS,58.0,13.74,13.74
SALMON,ONCORHYNCHUS_KISUTCH,15.0,10.469999999999999,10.469999999999999
SALMON,ONCORHYNCHUS_MASOU,14.0,9.75,9.75
SALMON,ONCORHYNCHUS_NERKA,17.0,10.02,10.02
SALMON,ONCORHYNCHUS_TSHAWYTSCHA,15.0,10.469999999999999,10.469999999999999
SALMON,SALMO_SALAR,126.0,11.68,11.68
SICYDIINAE,SPECIE,24.0,9.67,9.67
SICYOPTERUS,SPECIE,22.0,8.87,8.87
TRICHOPTERA,LARVA,12.0,9.81,9.81
TROUT,ONCORHYNCHUS_MYKISS,31.0,10.85,10.85
TROUT,SALMO_TRUTTA,196.0,11.475,11.475
TROUT,SALVELINUS_CONFLUENTUS,19.0,10.58,10.58
TROUT,SALVELINUS_FONTINALIS,40.0,10.73,10.73
TROUT,SALVELINUS_NAMAYCUSH,13.0,9.65,9.65
