source,target,relations,hits,score,score.1,TAXRANK_target,TAXRANK_source
COREGONUS,ALBULA,PARENT-CHILD,94.0,13.01,13.01, SPECIES, GENUS
COREGONUS,LAVARETUS,PARENT-CHILD,95.0,13.01,13.01, SPECIES, GENUS
COTTUS,GOBIO,PARENT-CHILD,73.0,13.13,13.13, SPECIES, GENUS
ESOX,LUCIUS,PARENT-CHILD,179.0,11.995,11.995, SPECIES, GENUS
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,99.0,13.94,13.94, SPECIES, GENUS
ONCORHYNCHUS,KISUTCH,PARENT-CHILD,138.0,12.52,12.52, SPECIES, GENUS
ONCORHYNCHUS,MYKISS,PARENT-CHILD,212.0,12.99,12.99, SPECIES, GENUS
ONCORHYNCHUS,NERKA,PARENT-CHILD,105.0,12.2,12.2, SPECIES, GENUS
ONCORHYNCHUS,TSHAWYTSCHA,PARENT-CHILD,101.0,12.15,12.15, SPECIES, GENUS
PERCA,FLUVIATILIS,PARENT-CHILD,230.0,13.66,13.66, SPECIES, GENUS
RUTILUS,RUTILUS,PARENT-CHILD,199.0,13.94,13.94, SPECIES, GENUS
SALMO,SALAR,PARENT-CHILD,615.0,13.25,13.25, SPECIES, GENUS
SALMO,TRUTTA,PARENT-CHILD,695.0,13.36,13.36, SPECIES, GENUS
SALVELINUS,ALPINUS,PARENT-CHILD,485.0,13.51,13.51, SPECIES, GENUS
SALVELINUS,CONFLUENTUS,PARENT-CHILD,96.0,11.67,11.67, SPECIES, GENUS
SALVELINUS,FONTINALIS,PARENT-CHILD,163.0,12.33,12.33, SPECIES, GENUS
